求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
6740-8120-8684,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,大阪府,正社員,salAB,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8685,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,大阪府,正社員,salAB,公開中,8,1,12.5%,￥25,￥25,0,0,0.0%,￥0
6740-8120-8686,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,大阪府,正社員,salAB,公開中,8,2,25.0%,￥25,￥50,0,0,0.0%,￥0
6740-8120-8687,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,大阪府,正社員,salAB,公開中,9,1,11.1%,￥25,￥25,0,0,0.0%,￥0
6740-8120-8688,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,大阪府,正社員,salAB,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8703,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,愛知県,正社員,salBB,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8705,飲料のルート営業/20代活躍中/週休2日・社割や各種手当などの福利厚生充実/CS8,非公開,愛知県,正社員,salBB,公開中,4,1,25.0%,￥25,￥25,0,0,0.0%,￥0
6740-8120-8708,人気上昇中！家庭菜園好きが集まるガーデニングプランナー/20代活躍中/社割や趣味手当などの各種手当充実！！週休2日/CS8,非公開,宮城県,正社員,,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8743,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,北海道,正社員,salBB,公開中,7,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6740-8120-8744,企業のオフィス環境をデジタル化する（法人営業）/20代活躍中/週休2日/寮・社宅完備/研修や福利厚生充実/CS8,非公開,北海道,正社員,salBB,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
