求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
6810-1556-1565,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,大阪府,正社員,LG求人20231114,公開中,23,1,4.4%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1566,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,大阪府,正社員,LG求人20231114,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1567,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,大阪府,正社員,LG求人20231114,公開中,7,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1568,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,大阪府,正社員,LG求人20231114,公開中,1,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1570,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,大阪府,正社員,LG求人20231114,公開中,8,1,12.5%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1571,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,愛知県,正社員,LG求人20231114,公開中,9,1,11.1%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1572,エンタメ企業の一般事務職/20代活躍中/年間休日130日/LG,非公開,愛知県,正社員,LG求人20231114,公開中,11,1,9.1%,￥25,￥25,0,0,0.0%,￥0
6810-1556-1581,エステ業界向けWeb広告運用アシスタント/20代活躍中/美容手当月3万円まで/LG,非公開,千葉県,正社員,LG求人20231114,公開中,4,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1594,エステ業界向けWeb広告運用アシスタント/20代活躍中/美容手当月3万円まで/LG,非公開,福岡県,正社員,LG求人20231114,公開中,31,3,9.7%,￥25,￥75,0,0,0.0%,￥0
6810-1556-1600,エステ業界向けWeb広告運用アシスタント/20代活躍中/美容手当月3万円まで/LG,非公開,大阪府,正社員,LG求人20231114,公開中,3,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1606,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,埼玉県,正社員,LG求人20231114,公開中,8,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1607,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,埼玉県,正社員,LG求人20231114,公開中,12,2,16.7%,￥25,￥50,0,0,0.0%,￥0
6810-1556-1608,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,埼玉県,正社員,LG求人20231114,公開中,10,0,0.0%,￥0,￥0,0,0,0.0%,￥0
6810-1556-1609,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,埼玉県,正社員,LG求人20231114,公開中,19,2,10.5%,￥25,￥50,0,0,0.0%,￥0
6810-1556-1610,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,埼玉県,正社員,LG求人20231114,公開中,7,2,28.6%,￥25,￥50,0,0,0.0%,￥0
6810-1556-1613,"20代活躍中/年間休日130日/探偵事務所の内勤営業/残業月平均～５H 以下/LG",非公開,神奈川県,正社員,LG求人20231114,公開中,23,2,8.7%,￥25,￥50,0,0,0.0%,￥0
