求人番号,求人タイトル,勤務先名,勤務地,雇用形態,キャンペーン名,ステータス,表示回数,クリック数,クリック率,平均クリック単価,費用,応募数,アクション数,応募率,応募単価
3795-2130-0260,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,神奈川県,正社員,新規作成20230901,公開中,22,1,4.6%,￥25,￥25,0,0,0.0%,￥0
3795-2130-0262,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,東京都,正社員,新規作成20230901,公開中,19,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0266,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,大阪府,正社員,新規作成20230901,公開中,11,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0268,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,大阪府,正社員,新規作成20230901,公開中,11,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0270,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,大阪府,正社員,新規作成20230901,公開中,16,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0271,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,愛知県,正社員,新規作成20230901,公開中,2,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0273,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,愛知県,正社員,新規作成20230901,公開中,5,2,40.0%,￥25,￥50,0,0,0.0%,￥0
3795-2130-0274,【１年の半分以上がお休み！２０代～６０代まで幅広く活躍中！稼ぎたい方、必見！ノルマ無し！完全未経験でも大歓迎！】タクシードライバー/YT,非公開,愛知県,正社員,新規作成20230901,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0278,【未経験OK!!・20代活躍中・年間休日125日以上・賞与/昇給、年２回ずつ】一般事務職でオフィスワークデビュー！！/YT,非公開,埼玉県,正社員,新規作成20230901,公開中,5,0,0.0%,￥0,￥0,0,0,0.0%,￥0
3795-2130-0279,【未経験OK!!・20代活躍中・年間休日125日以上・賞与/昇給、年２回ずつ】一般事務職でオフィスワークデビュー！！/YT,非公開,埼玉県,正社員,新規作成20230901,公開中,0,0,0.0%,￥0,￥0,0,0,0.0%,￥0
